,"Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom"
"1900-01-01 00:00:21",14.834533,15.0280515,0.04305,,,,0,,0,23.22586,55.7173194,0.0017836,2.0409341,0,0.138405707161282,,,0,,0.224,16.767866,0.021,0.262553,,,1.5313109,0.1638756,134.6910278
"1901-01-01 00:00:21",15.6663073,14.228067,0.0504,,,,0,,0,22.47574,56.2353835,0.0017836,2.0525986,0,0.130618110416411,,,0,,0.2191,17.725821,0.0112,0.322024,,,1.5732444,0.1768816,131.0222494
"1902-01-01 00:00:21",15.070803,14.6527185,0.04725,,,,0,,0,20.85944,55.4947698,0.0012348,1.92923695,0,0.153573214322565,,,0,,0.2793,17.376944,0.0119,0.354492,,,1.6062151,0.1983415,135.8360493
"1903-01-01 00:00:21",15.3938691,15.2419785,0.04095,,,,0,,0,24.27628,60.0259422,0.001372,1.99163,0,0.15727061953077,,,0,,0.3416,18.196576,0.0056,0.440413,,,1.6039401,0.208096,137.773461
"1904-01-01 00:00:21",15.5965226,14.5784205,0.05145,,,,0,,0,23.76437,62.450816,0.0017836,2.03577965,0,0.152683872785899,,,0,,0.3269,18.461102,0.0091,0.559875,,,1.7880394,0.2087463,139.0262146
"1905-01-01 00:00:21",16.33209485,13.9468875,0.063,,,,0,,0,24.98503,66.0557731,0.0016464,2.12570495,0,0.198134176041027,,,0,,0.3465,19.907297,0.0098,0.71203,,,1.9334266,0.2093966,141.2397266
"1906-01-01 00:00:21",17.4425836,15.096585,0.0504,,,,0,,0,23.79748,71.1158317,0.0016464,2.2595767,0,0.249544385806412,,,0,,0.3948,20.901158,0.007,1.004264,,,1.9494076,0.1931391,150.1756039
"1907-01-01 00:00:21",18.4005399,15.1830525,0.063,,,,0,,0,25.54545,75.0377793,0.0016464,2.2861196,0,0.315609252082054,,,0,,0.5061,23.218777,0.0063,1.177568,,,2.2284969,0.1983415,160.2023423
"1908-01-01 00:00:21",18.57382705,15.095304,0.06125,,,,0,,0,25.98694,77.4919527,0.0012348,2.4453801,0,0.359481363475003,,,0,,0.6356,24.818021,0.0035,1.176191,,,2.3626932,0.1983415,156.4328962
"1909-01-01 00:00:21",18.2333838,15.063279,0.0777,,,,0,,0,26.34765,78.3801636,0.0005488,2.66319495,0,0.424373521612824,,,0,,0.7847,25.602262,0.0042,1.379562,,,2.374799,0.1606241,157.7757209
"1910-01-01 00:00:21",17.97413285,15.3188385,0.084,,,,0,,0,26.6616,79.5536945,0.0001372,2.64632075,0.0567,0.447381931378209,,,0,,0.9044,25.280372,0.0056,1.355182,,,2.3292094,0.1970409,158.1695612
"1911-01-01 00:00:21",18.44108425,14.766087,0.10395,,,,0,,0,27.28313,83.6468565,0,2.74300365,0,0.505710847653851,,,0,,1.0339,26.554953,0.0077,1.655261,,,2.2485428,0.2028936,162.6313185
"1912-01-01 00:00:00",19.7714318,14.713566,0.1211,,,,0,,0,28.60977,92.6414427,0,2.80527395,0,0.586910913929493,,,0,,1.2075,29.485411,0.0105,1.946355,,,2.3758896,0.234108,155.7670765
"1913-01-01 00:00:00",20.5974381,14.630301,0.1274,,,,0,,0,28.43951,100.5471769,0,2.99218545,0.0588,0.653566180205134,,,0,,1.3111,30.871063,0.0175,1.90113,,,2.4393838,0.2493092,171.9251254
"1914-01-01 00:00:00",18.69912245,10.705317,0.15295,,,,0.042,,0,19.08949,87.3956824,0.002744,2.6726275,0.0658,0.752540601363469,,,0,,1.3881,25.757065,0.0203,1.868674,,,2.5405954,0.2464301,158.9060249
"1915-01-01 00:00:00",18.7171128,9.081009,0.1939,,,,0.0336,,0,13.48984,82.0405779,0.005488,2.71244085,0.0602,0.871545270894239,,,0,,1.6331,25.141554,0.042,1.6573,,,2.6927607,0.2838836,151.4507281
"1916-01-01 00:00:00",13.1430992,12.0817515,0.2303,,,,0.098,,0,14.71281,88.6567585,0.0160524,2.6963779,0.0637,1.10831495073701,,,0,,1.8592,28.869344,0.1001,0.960446,,,3.2156747,0.2915045,153.3498743
"1917-01-01 00:00:00",0.83310675,9.5633055,0.2737,,,,0.455,,0,19.93446,92.6374211,0.0216776,2.65241315,0.0679,1.28053992102322,,,0,,2.198819,32.046012,0.1323,0.798382,,,3.4624737,0.3248329,148.6390969
"1918-01-01 00:00:00",1.0639786884228,8.8971855,0.2401,,,,0.70035,,0,18.10941,89.5738142,0.0292236,2.4635135,0.0651,1.58093538828768,,,0,,2.883538,26.9327,0.1295,1.023285,,,4.1709514,0.3358012,136.2275348
"1919-01-01 00:00:00",0.990558769334234,11.8383615,0.21105,,,,0.525,,0,15.53095,70.2076579,0.0251076,1.1551267,0.0658,1.22711587765017,,,0,,2.985199,0.87694,0.091,1.312974,,,3.6265341,0.3444987,137.4355472
"1920-01-01 00:00:00",1.11708816976416,14.342611200651,0.27825,,,,0,,0,17.49396,80.3935244,0.0270284,1.4769146,0.077,1.60491818471932,,,0,,3.257422,18.421863,0.11025,1.564,,,3.4387108,0.366982,137.290731540781
"1921-01-01 00:00:00",1.14919441119641,13.9315155,0.34405,,,,0,,0,20.13473,84.8820747,0.0231868,1.8986758,0.063,1.36929535792286,,,0,,3.002979,17.668506,0.1001,1.683445,,,3.1161571,0.2825431,97.646004800651
"1922-01-01 00:00:00",1.40129726510257,13.583724,0.37835,,,,0,,0,22.20239,80.5419727,0.0181104,2.14532535,0,1.3988454364513,,,0,,3.4140155,20.8061426111111,0.0952,2.21164091111111,,,2.77874605555556,0.2693537,149.297365400651
"1923-01-01 00:00:00",1.26619837031077,14.6821815,0.39865,,,,0,,0,27.6606465716742,52.155486,0.0163268,2.32814015,0,1.65078765057732,,,0,,3.931053,21.5455350277778,0.1022,2.52243172222222,,,3.70280444074074,0.299376,165.084681610846
"1924-01-01 00:00:00",1.33862377812308,14.963361,0.45325,,,,0,,0,32.1757522343692,77.7118081,0.0179732,2.1471807,0,1.83087529148753,,,0,,4.3774745,19.4053694444444,0.0903,2.99279553333333,,,3.81068942592593,0.3024714,159.614383850977
"1925-01-01 00:00:00",1.43120888658641,14.7936285,0.448,,,,0,,0,34.4413902604103,87.6069020256725,0.0194824,1.93270711052082,0,2.09946131927282,,,0,,5.370456,17.6355668611111,0.08155,3.56159544639752,,,3.80691811111111,0.1893192,146.141395650977
"1926-01-01 00:00:00",1.43181049049257,16.159815,0.4445,,,,0,,0,37.7808027908119,93.0713940760103,0.0209916,2.03058493058592,0.8474816,2.40803146355485,,,0,,6.5969645,21.4091492777778,0.15225,4.58456195815966,,,4.0516586962963,0.2623152,75.1123858509765
"1927-01-01 00:00:00",1.50972459830488,17.6464155,0.4571,,,,0,,0,38.1588006129468,99.0544909677804,0.0196196,2.13757850065103,0,2.22321907213487,,,0,,7.0107695,22.673193745421,0.147911853580641,5.13337342914056,,,4.09291348148148,0.2745694,150.281532572018
"1928-01-01 00:00:00",1.61599345416411,17.663709,0.52535,,,,0,,0,37.9869690468001,101.150846352156,0.0175838802604103,2.21388693058592,0,2.56417334450313,,,0,,7.6970915,24.1368408423481,0.166505564426975,5.77367590012147,,,3.98656696666667,0.2445877,142.0669555397
"1929-01-01 00:00:00",1.74388386392949,17.25507,0.617642163124923,,,,0,,0.171969045571797,39.8319670728412,108.464155412026,0.0225230802604103,2.38643349045572,0.8523816,2.79312670297875,,,0,,8.1490115,27.2616985803144,0.165983914752487,6.46946199798459,,,4.91237506286045,1.39489110901609,154.295241760742
"1930-01-01 00:00:00",1.59635396392949,17.561764200651,0.5824,,,,0,,0.213241616509028,40.1524506411989,93.6595277604103,0.0188186802604103,2.12797030065103,0.738789307161282,2.84264596556934,,,0,,8.586508,22.3043273488667,0.182164635794128,7.38333775571752,,,4.99271031606197,0.2682694,145.943756920833
"1931-01-01 00:00:00",1.59019001718462,17.320401,0.578872884166564,,,,0,,0.22675347008967,37.097903467633,80.73806321248,0.0153886802604103,2.09476125065103,0.88464156963518,2.77341402619457,,,0,,9.090529,22.7077777772887,0.172647316054539,8.39296160520821,,,4.94709904126939,1.40596983158089,131.359339447083
